Feature,Importance
PurchaseVelocity,0.4720413
RFMScore,0.04933243
DaysActive,0.033539377
ActiveMonths,0.024818778
RecentAvgBasketSize,0.022310734
UniqueProducts,0.021412253
HistoricalSpend,0.016820954
Q4_Transactions,0.016605565
RedemptionRate,0.014680849
HistoricalFrequency,0.014540813
RecencyScore,0.014014773
HistoricalAvgTransaction,0.013553835
BasketSizeTrend,0.01319816
AvgPointsRedeemed,0.013119205
Q3_Transactions,0.011925843
Spend_365d,0.011875528
ProductDiversity,0.011633994
Spend_30d,0.011359846
AvgDaysBetweenPurchases,0.011166358
AvgBasketSize,0.010801141
Q1_Transactions,0.009633579
HolidayActivityRatio,0.009426893
Spend_90d,0.00922014
AvgPointsEarned,0.009092367
AvgNPSScore,0.008953938
Recency,0.008608723
CurrentPointsBalance,0.008566622
Frequency_90d,0.008316107
SpendingTrend,0.0077808006
TotalPointsEarned,0.007692761
CustomerLifetime,0.007618433
Frequency_60d,0.0076139024
Frequency,0.007580943
Frequency_30d,0.0075174444
PreferredQuarter,0.0075070346
HolidayTransactions,0.006983925
TotalItemsPurchased,0.0068729674
RecentAvgTransaction,0.006703163
HistoricalAvgBasketSize,0.0061081387
AvgTransactionValue,0.005800464
FrequencyTrend,0.005613839
Frequency_365d,0.0052951514
DaysSinceEnrollment,0.004820473
Spend_60d,0.004593808
TotalSpend_x,0.0035105827
PointsTransactions,0.0030399086
Q2_Transactions,0.0026575364
TotalPointsRedeemed,0.0021043755
AvgSatisfactionScore,0.0010690058
UniqueCategories,0.000945231
MonetaryScore,0.0
LifetimeValue,0.0
CurrentPointsPerDollar,0.0
FrequencyScore,0.0
TierChanges,0.0
PointsPerDollarRatio,0.0
TotalTransactions_x,0.0
RecentSpend,0.0
RecentFrequency,0.0
TotalSpend_y,0.0
TotalTransactions_y,0.0
RecommendationRate,0.0
