CustomerID,Recency,Frequency,TotalSpend_x,AvgTransactionValue,LifetimeValue,CustomerLifetime,AvgDaysBetweenPurchases,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,LastPurchaseDate,FirstPurchaseDate,Frequency_30d,Spend_30d,Frequency_60d,Spend_60d,Frequency_90d,Spend_90d,Frequency_365d,Spend_365d,TotalPointsEarned,AvgPointsEarned,PointsTransactions,TotalPointsRedeemed,AvgPointsRedeemed,CurrentPointsBalance,CurrentTier,CurrentPointsPerDollar,RedemptionRate,EnrollmentDate,DaysSinceEnrollment,PointsPerDollarRatio,TierNumeric,TierChanges,DaysActive,ActiveMonths,UniqueProducts,UniqueCategories,TotalItemsPurchased,TotalTransactions_x,AvgBasketSize,PurchaseVelocity,ProductDiversity,RecentFrequency,RecentSpend,RecentAvgTransaction,RecentAvgBasketSize,HistoricalFrequency,HistoricalSpend,HistoricalAvgTransaction,HistoricalAvgBasketSize,FrequencyTrend,SpendingTrend,BasketSizeTrend,FrequencyTrendDirection,SpendingTrendDirection,TotalTransactions_y,TotalSpend_y,HolidayTransactions,HolidayActivityRatio,Q1_Transactions,Q2_Transactions,Q3_Transactions,Q4_Transactions,PreferredQuarter,AvgSatisfactionScore,AvgNPSScore,RecommendationRate
CUST_00001,424.0,3.0,1468.36,489.45334,1468.36,0.0,0.0,1.0,1.0,1.0,111.0,2023-11-03,2023-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.0,489.3333333333333,3.0,0.0,0.0,1468.0,Bronze,1.0,0.0,2021-07-08,1272.0,1.0,1,0.0,1.0,1.0,3.0,3.0,8.0,3.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,1468.36,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
CUST_00002,24.0,1029.0,416837.84,405.09024,416837.84,860.0,0.8357628765792031,3.0,5.0,5.0,355.0,2024-12-07,2022-07-31,15.0,5101.34,73.0,35306.46,108.0,50454.25,458.0,192873.86,614216.0,593.4454106280193,1035.0,261205.0,252.3719806763285,353011.0,Platinum,1.5,0.42526570457298407,2022-07-22,893.0,1.5,4,3.0,125.0,28.0,439.0,15.0,2681.0,1029.0,21.448,36.75,0.42662779397473277,108.0,50454.25,467.16898,3.0185185185185186,89.0,30006.42,337.1508,2.3146067415730336,0.2111111111111111,0.6814258,0.2123666038920277,increasing,increasing,1029.0,416837.84,363.0,0.35276967930029157,233.0,202.0,273.0,321.0,4.0,2.0,1.0,0.0
CUST_00003,53.0,41.0,18630.3,454.39758,18630.3,924.0,22.536585365853657,2.0,2.0,3.0,223.0,2024-11-08,2022-04-29,0.0,0.0,4.0,2523.3599,4.0,2523.3599,17.0,6872.79,19932.0,486.1463414634146,41.0,12624.0,307.9024390243902,7308.0,Silver,1.15,0.633353401565322,2020-02-17,1779.0,1.15,2,1.0,11.0,30.0,41.0,15.0,110.0,41.0,10.0,1.3666666666666667,1.0,4.0,2523.3599,630.83997,3.25,4.0,962.85004,240.71251,2.5,0.0,1.619038,0.21428571428571427,stable,increasing,41.0,18630.3,22.0,0.5365853658536586,8.0,9.0,10.0,14.0,4.0,0.0,0.0,0.0
CUST_00004,39.0,27.0,7042.38,260.8289,7042.38,603.0,22.333333333333332,2.0,2.0,1.0,221.0,2024-11-22,2023-03-30,0.0,0.0,4.0,1890.9202,4.0,1890.9202,14.0,5203.29,7042.0,260.81481481481484,27.0,2908.0,107.70370370370371,4134.0,Bronze,1.0,0.4129508662311843,2022-12-30,732.0,1.0,1,0.0,8.0,20.0,26.0,13.0,62.0,27.0,7.75,1.35,0.9629629629629629,4.0,1890.9202,472.73004,3.0,2.0,1032.9401,516.47003,2.5,0.6666666666666666,0.8298161,0.14285714285714285,increasing,increasing,27.0,7042.38,5.0,0.18518518518518517,7.0,9.0,6.0,5.0,2.0,0.0,0.0,0.0
CUST_00005,1.0,672.0,278486.3,414.41415,278486.3,69.0,0.10267857142857142,5.0,5.0,5.0,555.0,2024-12-30,2024-10-22,336.0,148416.89,620.0,257995.22,672.0,278486.3,672.0,278486.3,403417.0,596.7707100591716,676.0,138363.0,204.67899408284023,265054.0,Platinum,1.5,0.34297761373467156,2024-10-21,71.0,1.5,4,3.0,41.0,2.0,367.0,15.0,1874.0,672.0,25.671232876712327,336.0,0.5461309523809523,672.0,278486.3,414.41415,2.7886904761904763,0.0,0.0,0.0,0.0,672.0,278486.3,2.7886904761904763,increasing,increasing,672.0,278486.3,620.0,0.9226190476190477,0.0,0.0,0.0,672.0,4.0,0.0,0.0,0.0
CUST_00006,27.0,10.0,4287.44,428.744,4287.44,371.0,37.1,3.0,1.0,1.0,311.0,2024-12-04,2023-11-29,5.0,2078.49,5.0,2078.49,5.0,2078.49,5.0,2078.49,4287.0,428.7,10.0,1307.0,130.7,2980.0,Bronze,1.0,0.30487520410543506,2022-12-10,752.0,1.0,1,0.0,2.0,12.0,10.0,8.0,27.0,10.0,13.5,0.8333333333333334,1.0,5.0,2078.49,415.698,2.0,0.0,0.0,0.0,0.0,5.0,2078.49,2.0,increasing,increasing,10.0,4287.44,10.0,1.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0
CUST_00007,34.0,47.0,17785.13,378.40704,17785.13,551.0,11.72340425531915,2.0,3.0,3.0,233.0,2024-11-27,2023-05-26,0.0,0.0,1.0,74.12,6.0,1538.42,30.0,11810.55,18994.0,404.1276595744681,47.0,13809.0,293.8085106382979,5185.0,Silver,1.15,0.7270190586501001,2023-04-11,630.0,1.15,2,1.0,16.0,18.0,46.0,13.0,120.0,47.0,7.5,2.611111111111111,0.9787234042553191,6.0,1538.42,256.40335,2.1666666666666665,6.0,2293.6802,382.28003,3.5,0.0,-0.32913524,-0.29629629629629634,stable,decreasing,47.0,17785.13,8.0,0.1702127659574468,7.0,16.0,13.0,11.0,2.0,0.0,0.0,0.0
CUST_00008,19.0,83.0,31799.35,383.1247,31799.35,565.0,6.807228915662651,3.0,3.0,3.0,333.0,2024-12-12,2023-05-27,3.0,937.6,8.0,3514.09,15.0,6769.5103,52.0,18538.49,35832.0,431.71084337349396,83.0,13767.0,165.86746987951807,22065.0,Gold,1.25,0.3842096450100469,2023-05-05,606.0,1.25,3,2.0,28.0,19.0,76.0,14.0,219.0,83.0,7.821428571428571,4.368421052631579,0.9156626506024096,15.0,6769.5103,451.3007,3.2,14.0,4441.94,317.28143,2.5714285714285716,0.06666666666666667,0.52388066,0.176,stable,increasing,83.0,31799.35,28.0,0.3373493975903614,12.0,13.0,27.0,31.0,4.0,0.0,0.0,0.0
CUST_00009,32.0,35.0,13968.4,399.09717,13968.4,994.0,28.4,3.0,2.0,2.0,322.0,2024-11-29,2022-03-11,0.0,0.0,4.0,2912.3901,4.0,2912.3901,9.0,5139.07,14594.0,416.9714285714286,35.0,9525.0,272.14285714285717,5069.0,Silver,1.15,0.6526654789639578,2020-03-17,1750.0,1.15,2,1.0,15.0,33.0,31.0,11.0,93.0,35.0,6.2,1.0606060606060606,0.8857142857142857,4.0,2912.3901,728.09753,3.5,2.0,1262.22,631.11,2.5,0.6666666666666666,1.3063205,0.2857142857142857,increasing,increasing,35.0,13968.4,10.0,0.2857142857142857,4.0,8.0,14.0,9.0,3.0,0.0,0.0,0.0
CUST_00010,2.0,463.0,186300.84,402.37762,186300.84,679.0,1.4665226781857452,5.0,5.0,5.0,555.0,2024-12-29,2023-02-19,15.0,8272.8,24.0,13892.23,43.0,20250.42,217.0,89354.7,263562.0,566.8,465.0,122249.0,262.9010752688172,141313.0,Platinum,1.5,0.4638339366069464,2023-02-10,690.0,1.5,4,3.0,82.0,22.0,306.0,15.0,1187.0,463.0,14.475609756097562,21.045454545454547,0.6609071274298056,43.0,20250.42,470.94,2.697674418604651,48.0,16431.97,342.33273,2.4583333333333335,-0.10204081632653061,0.23236512,0.06920706080134484,decreasing,increasing,463.0,186300.84,125.0,0.26997840172786175,92.0,149.0,116.0,106.0,2.0,0.0,0.0,0.0
